time	r	r_small_t	r_large_t
1.6800009999999999	0.8861563214215806	-0.18446008952439757	0.8865100022204757
1.7000009999999999	0.8861953084192615	-0.1924185966814171	0.8865100022204757
1.720001	0.8862305265296166	-0.2003771038384367	0.8865100022204757
1.740001	0.886262319074848	-0.20833561099545622	0.8865100022204757
1.760001	0.8862909990554131	-0.21629411815247573	0.8865100022204757
1.780001	0.8863168517805217	-0.22425262530949536	0.8865100022204757
1.800001	0.8863401372731501	-0.23221113246651487	0.8865100022204757
1.820001	0.8863610924689447	-0.2401696396235345	0.8865100022204757
1.840001	0.8863799332262889	-0.248128146780554	0.8865100022204757
1.860001	0.886396856163623	-0.2560866539375735	0.8865100022204757
1.880001	0.8864120403385927	-0.26404516109459314	0.8865100022204757
1.900001	0.8864256487825689	-0.27200366825161265	0.8865100022204757
